NUM,LOCATION,X,Y
1111051000,서울특별시 종로구 청운동,953064,1954062
1111051500,서울특별시 종로구 청운효자동,953064,1954062
1111052000,서울특별시 종로구 효자동,953064,1954062
1111053000,서울특별시 종로구 사직동,953238,1952853
1111054000,서울특별시 종로구 삼청동,954289,1954201
1111055000,서울특별시 종로구 부암동,952832,1955251
1111056000,서울특별시 종로구 평창동,953124,1957283
1111057000,서울특별시 종로구 무악동,952228,1953240
1111058000,서울특별시 종로구 교남동,952682,1952534
1111060000,서울특별시 종로구 가회동,954653,1953970
1111061500,서울특별시 종로구 종로1.2.3.4가동,955243,1953276
1111063000,서울특별시 종로구 종로5.6가동,956175,1952763
1111064000,서울특별시 종로구 이화동,956085,1953527
1111065000,서울특별시 종로구 혜화동,955828,1954272
1111066000,서울특별시 종로구 명륜3가동,955780,1954032
1111067000,서울특별시 종로구 창신제1동,957041,1952765
1111068000,서울특별시 종로구 창신제2동,956733,1953067
1111069000,서울특별시 종로구 창신제3동,957013,1953379
1111070000,서울특별시 종로구 숭인제1동,957351,1953238
1111071000,서울특별시 종로구 숭인제2동,957721,1952945
1114052000,서울특별시 중구 소공동,953644,1951801
1114054000,서울특별시 중구 회현동,953733,1950998
1114055000,서울특별시 중구 명동,954586,1951500
1114057000,서울특별시 중구 필동,955351,1950933
1114058000,서울특별시 중구 장충동,956179,1950800
1114059000,서울특별시 중구 광희동,956457,1951917
1114060000,서울특별시 중구 을지로3.4.5가동,955634,1951997
1114060500,서울특별시 중구 을지로동,955634,1951997
1114061000,서울특별시 중구 신당제1동,957088,1951826
1114061500,서울특별시 중구 신당동,957021,1951886
1114062000,서울특별시 중구 신당제2동,956561,1950741
1114062500,서울특별시 중구 다산동,956546,1950730
1114063000,서울특별시 중구 신당제3동,956744,1950163
1114063500,서울특별시 중구 약수동,956727,1950153
1114064000,서울특별시 중구 신당제4동,957145,1950916
1114064500,서울특별시 중구 청구동,957193,1950968
1114065000,서울특별시 중구 신당제5동,957878,1951648
1114066000,서울특별시 중구 신당제6동,957465,1951380
1114066500,서울특별시 중구 동화동,957472,1951379
1114067000,서울특별시 중구 황학동,957668,1952240
1114068000,서울특별시 중구 중림동,952837,1950953
1117051000,서울특별시 용산구 후암동,954207,1950230
1117052000,서울특별시 용산구 용산2가동,954162,1949152
1117053000,서울특별시 용산구 남영동,953386,1949596
1117054000,서울특별시 용산구 청파제1동,952932,1950024
1117055000,서울특별시 용산구 청파제2동,952932,1950024
1117055500,서울특별시 용산구 청파동,952932,1950024
1117056000,서울특별시 용산구 원효로제1동,952929,1948831
1117057000,서울특별시 용산구 원효로제2동,951473,1948283
1117058000,서울특별시 용산구 효창동,952293,1949508
1117059000,서울특별시 용산구 용문동,952148,1948892
1117060000,서울특별시 용산구 한강로제1동,952929,1948831
1117061000,서울특별시 용산구 한강로제2동,952884,1948124
1117062000,서울특별시 용산구 한강로제3동,952884,1948124
1117062500,서울특별시 용산구 한강로동,952884,1948124
1117063000,서울특별시 용산구 이촌제1동,953244,1946599
1117064000,서울특별시 용산구 이촌제2동,951754,1947270
1117065000,서울특별시 용산구 이태원제1동,955197,1948367
1117066000,서울특별시 용산구 이태원제2동,955206,1949272
1117067000,서울특별시 용산구 한남제1동,956375,1948799
1117068000,서울특별시 용산구 한남제2동,956375,1948799
1117068500,서울특별시 용산구 한남동,956375,1948799
1117069000,서울특별시 용산구 서빙고동,954784,1947172
1117070000,서울특별시 용산구 보광동,955998,1947451
1120051000,서울특별시 성동구 왕십리제1동,958407,1952007
1120052000,서울특별시 성동구 왕십리제2동,958333,1951444
1120053000,서울특별시 성동구 도선동,958749,1951891
1120053500,서울특별시 성동구 왕십리도선동,958407,1952007
1120054000,서울특별시 성동구 마장동,959407,1952115
1120055000,서울특별시 성동구 사근동,959823,1951182
1120056000,서울특별시 성동구 행당제1동,958946,1951253
1120057000,서울특별시 성동구 행당제2동,958442,1950919
1120058000,서울특별시 성동구 응봉동,958815,1950237
1120059000,서울특별시 성동구 금호1가동,958180,1950504
1120060000,서울특별시 성동구 금호2가동,957614,1950482
1120061000,서울특별시 성동구 금호3가동,957614,1950482
1120061500,서울특별시 성동구 금호2.3가동,957614,1950482
1120062000,서울특별시 성동구 금호4가동,958092,1949459
1120063000,서울특별시 성동구 옥수제1동,957163,1949357
1120064000,서울특별시 성동구 옥수제2동,957163,1949357
1120064500,서울특별시 성동구 옥수동,957163,1949357
1120065000,서울특별시 성동구 성수1가제1동,959331,1949068
1120066000,서울특별시 성동구 성수1가제2동,959652,1950038
1120067000,서울특별시 성동구 성수2가제1동,960731,1948644
1120069000,서울특별시 성동구 성수2가제3동,960954,1949670
1120072000,서울특별시 성동구 송정동,961876,1950581
1120079000,서울특별시 성동구 용답동,960916,1951421
1121571000,서울특별시 광진구 화양동,962291,1949435
1121573000,서울특별시 광진구 군자동,962363,1950535
1121574000,서울특별시 광진구 중곡제1동,962690,1951463
1121575000,서울특별시 광진구 중곡제2동,963262,1951119
1121576000,서울특별시 광진구 중곡제3동,963023,1952101
